,mpID,Chemical Formula,no. of elements,Total no. of atoms,Space Group,Space Group Number,Shear_Modulus,Bulk_Modulus,density,band-gap,stability,icsd_ID,v_L,v_T,v
324,576,B13C2,2,15,R-3m,166,159.0,222.0,2.4386478141646917,0.0,0,,13339.63058504108,8074.655821893508,8924.764660180093
325,578,Ga3Ag6,2,9,P-62m,189,19.0,71.0,9.022646774040407,0.0,0,,3267.4356232801747,1451.1417017133733,1637.574448783367
326,579,Cr1C1,2,2,Fm-3m,225,108.0,208.0,6.132123719070668,0.0,0.27819553708332734,,7576.0645822408105,4196.685492049501,4675.145637265223
327,580,Pu1B2,2,3,P6/mmm,191,144.0,139.0,12.80107972766924,0.0,0.29282809041666624,,5084.628222958123,3353.96050970288,3671.489917576843
328,582,Ce2Ir4,2,6,Fd-3m,227,72.0,258.0,15.696372420132507,0.0,0,,4748.836982633489,2141.7392759396007,2415.3017041822054
329,583,Co4As4,2,8,Pnma,62,80.0,157.0,8.277261068610768,0.0,0,,5643.6792700302085,3108.8635919820317,3464.804697919114
330,585,Mn1B2,2,3,P6/mmm,191,172.0,260.0,5.574663303453035,0.0,0.06771944874999658,,9368.44767610643,5554.627019567719,6151.778461880196
331,589,Tb2Fe4,2,6,Fd-3m,227,20.0,103.0,9.23936778719909,0.0,0.18663563851851794,,3746.12169020423,1471.2750499771512,1667.519919489104
332,590,Ni2As2,2,4,P6_3/mmc,194,46.0,134.0,7.640999440530522,0.0,0.006328055624999607,,5055.871767307105,2453.6003893952625,2757.1205687458673
333,592,Ti1Ru1,2,2,Pm-3m,221,107.0,212.0,8.419437219779311,0.0,0,,6490.031682052017,3564.9246709465438,3973.949952588304
334,593,Al16Cu36,2,52,P-43m,215,70.0,129.0,6.853922832187023,0.0,0,,5695.211988435632,3195.7986929399526,3556.485390866551
335,594,Ni2S2,2,4,P6_3/mmc,194,18.0,136.0,5.680562543110778,0.0,0.10477781333333258,,5307.086610230573,1780.0843403374665,2025.0309963223335
336,597,Ti9Ni9,2,18,P31m,157,39.0,151.0,6.487972508056594,0.0,0.022703361111113374,,5593.4480912213285,2451.759140260544,2768.241311589008
337,601,Pr1P1,2,2,Fm-3m,225,49.0,74.0,5.4227838572350455,0.0,0,,5068.633734232224,3005.9855788434784,3329.066083491416
338,602,Te4Mo2,2,6,P6_3/mmc,194,13.0,16.0,6.928353068002463,1.0113000000000003,0.0012527116666785076,,2193.2903916844393,1369.798450390739,1509.0898227410114
339,603,Be4Ag2,2,6,Fd-3m,227,84.0,129.0,6.320796665156553,0.0,0.02625241388888888,,6174.437249458587,3645.471717385073,4038.9765772200726
340,605,Zr2Te10,2,12,Cmcm,63,6.0,11.0,5.444927829034374,0.1192000000000002,0,,1867.9183039628829,1049.7347190609696,1168.0680170992994
341,607,Ce2Ru4,2,6,Fd-3m,227,5.0,160.0,10.444469879381192,0.0,0,,3994.652472242792,691.8975635469806,791.3402041905309
342,608,Ti1Co3,2,4,Pm-3m,221,83.0,194.0,7.9485403294031345,0.0,0,,6190.832580648816,3231.4344834733324,3615.3320958527283
343,610,Mn2As2,2,4,P6_3/mmc,194,51.0,57.0,6.766713058697945,0.0,0.18683879086956612,,4297.704905779221,2745.3404415707423,3016.8797727704036
344,613,Te4Pd6,2,10,Cmcm,63,24.0,97.0,9.398117803770592,0.0,0.007651029699999867,,3704.7673960155835,1598.0309216588357,1805.4551249187114
345,615,Y1Mg1,2,2,Pm-3m,221,20.0,41.0,3.4193335370156808,0.0,0,,4448.312237404931,2418.489826752751,2698.0648650927283
346,617,Pt1O2,2,3,P-3m1,164,32.0,48.0,9.198821271495307,1.4874999999999998,0.0048357716666664885,,3139.295416943209,1865.1291029622532,2065.23990933097
347,623,Hg1Pt1,2,2,P4/mmm,123,36.0,147.0,18.021970952351626,0.0,0.11299566249999993,,3289.2948091950925,1413.3512511790505,1597.040625664062
